assembly_accession,locus_tag,product_accession,contigID,start,end
GCA_002839605.1,CVV32_03660,PKL65566.1,,225457,226386
GCA_000813245.1,TCARB_0740,AJB41792.1,,662688,663794
GCA_000245175.2,JFKDKKGG_00906,JFKDKKGG_00906,,868904,869740
GCA_002214465.1,A3L01_02315,ASJ05760.1,,416520,416843
GCA_000337175.1,C486_01639,ELY83891.1,,129110,130162
GCA_000025665.1,Aboo_1025,ADD08834.1,,985671,986513
GCA_002498055.1,HBAHBMAM_00627,HBAHBMAM_00627,,69712,70377
GCA_000993805.1,MA03_02930,AKG39329.1,,578766,579251
GCA_000013445.1,Mhun_0743,ABD40496.1,,858896,859978
GCA_001560675.1,JCCFAKJJ_02398,JCCFAKJJ_02398,,1080,1985
GCA_000979105.1,DU44_08480,KKH13521.1,,184668,185885
GCA_000968435.1,SULA_2374,AKA79918.1,,2206105,2206833
GCA_000299365.1,NKOR_03865,AFS80663.1,,655943,656986
GCA_000320505.2,BDPBACIL_00608,BDPBACIL_00608,,46262,46525
GCA_001729965.1,NL43_07895,OED29511.1,,7580,9457
GCA_000970085.1,MSSIT_3381,AKB30100.1,,4251271,4252152
GCA_001481685.1,EYM_01760,ALU12243.1,,294069,294938
GCA_001560195.1,AHFFPLAJ_01835,AHFFPLAJ_01835,,104097,104999
GCA_000189555.1,SiRe_0772,ADX84853.1,,748839,749735
GCA_002505025.1,PKCHPAJG_00070,PKCHPAJG_00070,,4521,5537
GCA_001560165.1,FJIOONJO_00387,FJIOONJO_00387,,209524,210318
GCA_002215285.1,IIOBAMMF_00504,IIOBAMMF_00504,,309595,310257
GCA_000247545.1,Pogu_1125,AFA39152.1,,960588,963008
GCA_001316205.1,BCDGHCHE_02015,BCDGHCHE_02015,,20406,20804
GCA_002727485.1,CMA92_00785,MBT04293.1,,1,282
GCA_000979125.1,DU60_04295,KKH32280.1,,9234,10235
GCA_000214725.1,MSWAN_1414,AEG18428.1,,1538608,1539333
GCA_002731655.1,CMA52_00045,MBV14913.1,,6608,7450
GCA_000979635.1,DU45_16985,KKG62879.1,,83695,85200
GCA_001315865.1,GCINHJJH_04041,GCINHJJH_04041,,8949,9167
GCA_002506415.1,PDIAOGOC_00260,PDIAOGOC_00260,,5205,5870
GCA_000245115.2,ELEAMKNB_01975,ELEAMKNB_01975,,31940,32368
GCA_002494625.1,JFNLIPMI_00042,JFNLIPMI_00042,,36975,37700
GCA_001560715.1,GKDKIAIE_02292,GKDKIAIE_02292,,139820,140575
GCA_000022385.1,LS215_0727,ACP34796.1,,639674,640639
GCA_002508705.1,BCLHLAGL_01313,BCLHLAGL_01313,,67977,68639
GCA_002503565.1,BFIHCEDP_00689,BFIHCEDP_00689,,15753,16370
GCA_000336655.1,C445_16729,EMA30170.1,,10865,12913
GCA_002494625.1,JFNLIPMI_01646,JFNLIPMI_01646,,40560,41120
GCA_000175555.1,DGMHJNOM_00094,DGMHJNOM_00094,,2567,3508
GCA_000011205.1,STK_25010,BAB67612.1,,2508081,2508776
GCA_002508705.1,BCLHLAGL_00659,BCLHLAGL_00659,,201470,202060
GCA_000427685.1,KLMOJFDC_03953,KLMOJFDC_03953,,21628,22434
GCA_000363885.1,J422_05274,ENN95915.1,,4701,5153
GCA_000446015.1,N186_03620,AGT35086.1,,623486,623764
GCA_002508705.1,BCLHLAGL_00200,BCLHLAGL_00200,,132839,134620
GCA_900109695.1,SAMN04488691_104301,SEL42723.1,,333267,335384
GCA_000969965.1,MSWHS_2623,AKB19486.1,,3199155,3199883
GCA_900004275.1,FINNEELH_03137,FINNEELH_03137,,76875,77135
GCA_000092465.1,Shell_0508,ADI31639.1,,466967,467920
GCA_000009965.1,TK0452,BAD84641.1,,380372,381115
GCA_000007225.1,PAE0114,AAL62569.1,,61965,62891
GCA_000195895.1,Mbar_A0303,AAZ69287.1,,355078,355857
GCA_000275865.1,Metli_1428,EJG07379.1,,1424514,1425176
GCA_001560135.1,GGEFHGDP_02295,GGEFHGDP_02295,,72256,73161
GCA_000015805.1,Pcal_0273,ABO07710.1,,270269,271171
GCA_900012635.1,CHITON_0550,CUX77329.1,,517668,518105
GCA_000769655.1,TEU_10795,AIU70781.1,,1965905,1966954
GCA_001559965.1,BOJFONCB_02040,BOJFONCB_02040,,570105,571289
GCA_000710615.1,BKFOFDAA_03645,BKFOFDAA_03645,,39591,39863
GCA_000011205.1,STK_26320,BAK54837.1,,2667405,2668049
GCA_001871475.1,AUJ17_03815,OIO21093.1,,1590,2267
GCA_001266735.1,MsedE_1186,AKV83174.1,,1130940,1131773
GCA_002720095.1,CMB56_03370,MBJ52727.1,,53420,54901
GCA_000025665.1,Aboo_1028,ADD08837.1,,987756,990023
GCA_001560215.1,NGNHDNEJ_00484,NGNHDNEJ_00484,,483760,484446
GCA_002214505.1,A3L11_08495,ASJ09264.1,,1579619,1582507
GCA_002010305.1,JIGLKENP_00089,JIGLKENP_00089,,75262,76002
GCA_001560755.1,BMOELBDG_00670,BMOELBDG_00670,,645997,646899
GCA_000979295.1,EO95_16850,KKH91823.1,,37784,40342
GCA_000979185.1,DU71_06630,KKH37922.1,,16908,17510
GCA_000336795.1,C456_13923,ELZ72052.1,,21402,23370
GCA_000979575.1,DU38_17455,KKG48141.1,,68643,69464
GCA_000970165.1,MSMAW_0454,AKB39445.1,,557866,558684
GCA_000023965.1,Hmuk_2833,ACV48938.1,,2713035,2715140
GCA_000152265.2,FACI_IFERC00001G1216,AGO61196.1,,1184606,1185349
GCA_000337815.1,C440_11816,ELZ93662.1,,8212,8766
GCA_000011205.1,STK_19790,BAB67074.1,,1989362,1992358
GCA_002506095.1,ALKMMDLD_01685,ALKMMDLD_01685,,7205,8071
GCA_001315845.1,FNHJBKPH_01093,FNHJBKPH_01093,,74830,75180
GCA_000711215.1,CJCFGEAF_00237,CJCFGEAF_00237,,253937,254872
GCA_900095815.1,MWSIV6_1471,SCM58156.1,,1360467,1361171
GCA_000690595.2,HTG_19135,OAQ51090.1,,2384,3379
GCA_000213215.1,Ahos_0358,AEE93249.1,,358275,358829
GCA_002498665.1,LHKBHFCD_01518,LHKBHFCD_01518,,17329,17589
GCA_002010305.1,JIGLKENP_02331,JIGLKENP_02331,,1175,2932
GCA_000281695.1,NJ7G_0930,AFO56178.1,,842366,842638
GCA_002509565.1,KCGEAFKK_02351,KCGEAFKK_02351,,12204,12758
GCA_000979195.1,DU76_06825,KKH57352.1,,3276,4781
GCA_001625445.1,A4G99_23335,KZN26057.1,,2216,4492
GCA_000214415.1,Metig_1343,AEF96878.1,,1359004,1359948
GCA_001189275.1,PYWP30_00260,AKT33918.1,,232229,232843
GCA_000710615.1,BKFOFDAA_03689,BKFOFDAA_03689,,914,3028
GCA_001560635.1,ABOLPMBH_01822,ABOLPMBH_01822,,31961,32722
GCA_002507065.1,PBMPGCGL_03068,PBMPGCGL_03068,,8332,8997
GCA_001266675.1,MsedB_1158,AKV76413.1,,1077197,1077955
GCA_000979045.1,DU56_02015,KKG98973.1,,46723,48228
GCA_001316045.1,IKCEDMHP_02459,IKCEDMHP_02459,,3541,4227
GCA_000190315.1,VMUT_1479,ADY01684.1,,1464099,1465607
GCA_002501655.1,JLJEEGKO_01128,JLJEEGKO_01128,,19375,20310
GCA_002215565.1,IPGMGJGF_02015,IPGMGJGF_02015,,1866490,1867245
GCA_001571385.1,LMGJKCFM_01448,LMGJKCFM_01448,,1418334,1418606
GCA_001870125.1,PKFKAHHG_01769,PKFKAHHG_01769,,1749424,1751631
GCA_000970005.1,MSWH1_2423,AKB22694.1,,2966880,2967608
GCA_000008645.1,MTH_1088,AAB85577.1,,1004466,1005641
GCA_002498065.1,OBIMILLO_01728,OBIMILLO_01728,,31803,32444
GCA_002509255.1,PJKNLDEA_01210,PJKNLDEA_01210,,245,514
GCA_000275605.1,PFC_04870,AFN03921.1,,882853,883866
GCA_002011075.1,ANPPKEOB_01238,ANPPKEOB_01238,,486495,486773
GCA_000245275.2,BBOLJCCI_00896,BBOLJCCI_00896,,842095,843600
GCA_000175555.1,DGMHJNOM_00095,DGMHJNOM_00095,,3508,6645
GCA_002252585.1,JBCPGOIN_00234,JBCPGOIN_00234,,228612,230975
GCA_001462205.1,DKOEDFFK_02112,DKOEDFFK_02112,,1289,1552
GCA_000024305.1,LD85_0457,ADB86233.1,,391265,391912
GCA_900003505.1,IELIHILI_03186,IELIHILI_03186,,42829,44976
GCA_900095295.1,MCBB_1323,SCG85881.1,,1386027,1387868
GCA_000336735.1,C452_02150,ELZ94460.1,,57359,59509
GCA_001433455.1,TBCH5v1_0977,ALM74922.1,,828364,828990
GCA_002487355.1,AOIFKBFE_03173,AOIFKBFE_03173,,29684,32293
GCA_000221185.1,GQS_00595,AEK72022.1,,136678,137403
GCA_000979095.1,DU42_17170,KKH05291.1,,14809,15780
GCA_002243045.1,OCNMKEAD_01402,OCNMKEAD_01402,,15171,15962
GCA_900069765.1,KJKELFHJ_00704,KJKELFHJ_00704,,133933,134958
GCA_000189555.1,SiRe_0767,ADX84848.1,,743922,744887
GCA_001316085.1,CIBGEIDD_01971,CIBGEIDD_01971,,15373,16011
GCA_000970185.1,MSMAP_0708,AKB60693.1,,849895,850497
GCA_002713325.1,CMO16_07205,MBE44945.1,,1,842
GCA_000190055.2,FPKNIGDP_02038,FPKNIGDP_02038,,9864,10373
GCA_000320505.2,BDPBACIL_00610,BDPBACIL_00610,,47639,48133
GCA_000828575.1,MTCT_0984,BAM70232.1,,978899,979612
GCA_000190315.1,VMUT_1485,ADY01690.1,,1472088,1472249
GCA_002496705.1,OJKIBACN_00749,OJKIBACN_00749,,22777,23049
GCA_001560725.1,OHBKOFBI_02082,OHBKOFBI_02082,,37813,38649
GCA_001515215.1,APU95_00660,KUO42019.1,,55919,56203
GCA_002506225.1,ONAJANBF_00880,ONAJANBF_00880,,8772,9737
GCA_001560525.1,NGHHJGKP_02352,NGHHJGKP_02352,,125090,125884
GCA_000969905.1,MSVAZ_2243,AKB44512.1,,2866888,2868780
GCA_000189575.1,SiH_0557,ADX81919.1,,535554,538202
GCA_001516585.1,AT710_05390,KUO91897.1,,15762,16454
GCA_002215405.1,FDHNNBBL_01977,FDHNNBBL_01977,,1790381,1791142
GCA_001625445.1,A4G99_24035,KZN24963.1,,2085,4898
GCA_000022205.1,Hlac_3333,ACM58854.1,,85031,85816
GCA_002194565.1,Pdsh_08090,OWJ54417.1,,237747,238343
GCA_000019605.1,Kcr_0441,ACB07194.1,,454679,455878
GCA_000245195.2,GPBCAKMG_01935,GPBCAKMG_01935,,6828,7646
GCA_000243255.1,Metlim_2098,EHQ36180.1,,2214267,2215487
GCA_000022465.1,YG5714_0744,ACP45034.1,,690533,691384
GCA_001560685.1,ILGFBMPN_02048,ILGFBMPN_02048,,30091,30933
GCA_001560725.1,OHBKOFBI_00014,OHBKOFBI_00014,,15168,15854
GCA_000022445.1,M164_0487,ACR41117.1,,417631,418278
GCA_002506585.1,AFOFMECC_01509,AFOFMECC_01509,,9210,11090
GCA_000969905.1,MSVAZ_0260,AKB42529.1,,300394,301362
GCA_002495125.1,DGCFCPAL_00646,DGCFCPAL_00646,,64,741
GCA_001484195.1,APY94_04220,KUH33942.1,,55023,55601
GCA_002496395.1,IGMDNGJB_01636,IGMDNGJB_01636,,16956,17990
GCA_000711905.1,ENACBEBM_01626,ENACBEBM_01626,,19899,20291
GCA_001560765.1,HODOBGIE_01089,HODOBGIE_01089,,166301,166906
GCA_002509015.1,DHDMMOJL_00314,DHDMMOJL_00314,,20799,21491
GCA_000245275.2,BBOLJCCI_00941,BBOLJCCI_00941,,894516,895481
GCA_001508185.1,XD62_1462,KUK29457.1,,1,797
GCA_000327485.1,Metfor_2151,AGB03157.1,,2106472,2108910
GCA_000711905.1,ENACBEBM_00434,ENACBEBM_00434,,6694,9087
GCA_001577775.1,TQ32_03915,AMM53719.1,,728975,730063
GCA_001560245.1,KKDDGCAJ_01794,KKDDGCAJ_01794,,29969,30634
GCA_000245195.2,GPBCAKMG_02850,GPBCAKMG_02850,,861278,861883
GCA_002507025.1,OJGHGGOH_01761,OJGHGGOH_01761,,39603,40220
GCA_001316045.1,IKCEDMHP_02627,IKCEDMHP_02627,,1415,2389
GCA_002010195.1,NEEPMCML_01048,NEEPMCML_01048,,1991,2707
GCA_000015945.1,Smar_0329,ABN69441.1,,347514,348413
GCA_000175555.1,DGMHJNOM_01252,DGMHJNOM_01252,,1486,1752
GCA_001587655.1,APG10_01681,KYC44489.1,,1544,2038
GCA_000189935.2,AABMKBHA_00168,AABMKBHA_00168,,36306,37028
GCA_001896515.1,JJ59_03660,OJT94500.1,,309474,312323
GCA_001266735.1,MsedE_1161,AKV83155.1,,1079418,1080143
GCA_002496495.1,GGEOOEOM_01936,GGEOOEOM_01936,,87138,89636
GCA_000189575.1,SiH_0760,ADX82115.1,,749144,749791
GCA_000022385.1,LS215_0601,ACP34694.1,,509943,510638
GCA_900090055.1,CPM_1605,SJK85392.1,,1535848,1536840
GCA_000022385.1,LS215_0641,ACP34729.1,,554835,555743
GCA_001412355.1,APR53_00890,KQC03597.1,,1318,2253
GCA_001412615.1,Pyrde_0307,ALL00357.1,,299338,300402
GCA_000011125.1,APE_1228.1,BAA80217.2,,776023,776754
GCA_000380705.1,FPMCCHJL_00284,FPMCCHJL_00284,,5573,8767
GCA_002497075.1,DBGCFNIE_00692,DBGCFNIE_00692,,60293,61282
GCA_002116695.1,B6F84_00020,ARM74571.1,,3356,3964
GCA_000011205.1,STK_26345,BAK54839.1,,2669973,2670248
GCA_000446015.1,N186_03655,AGT35093.1,,626924,627907
GCA_001560645.1,AEPHJOEN_01074,AEPHJOEN_01074,,76712,77398
GCA_000007005.1,SSO2004,AAK42192.1,,1820893,1821762
GCA_000217995.1,Mzhil_1874,AEH61709.1,,1984217,1985017
GCA_000970285.1,MSHOH_0853,AKB77336.1,,1010882,1011589
GCA_001316165.1,OADDBBNO_00621,OADDBBNO_00621,,51461,52702
GCA_000970305.1,MSBR3_2822,AKB83400.1,,3729069,3729776
GCA_900069765.1,KJKELFHJ_00889,KJKELFHJ_00889,,139,864
GCA_000007005.1,SSO1404,AAK41639.1,,1252229,1252534
GCA_001560125.1,DBBCKIFB_02326,DBBCKIFB_02326,,57668,58585
GCA_001316045.1,IKCEDMHP_02459,IKCEDMHP_02459,,3541,4227
GCA_000007005.1,SSO1406,AAK41641.1,,1253640,1254425
GCA_000022485.1,YN1551_2115,ACP49136.1,,1883954,1884919
GCA_002878225.1,C0171_02085,PMP91792.1,,1,390
GCA_000175555.1,DGMHJNOM_00097,DGMHJNOM_00097,,7498,8886
GCA_000980135.1,DU84_13840,KKH95870.1,,9458,9724
GCA_000022445.1,M164_0915,ACR41527.1,,871692,872588
GCA_900100715.1,SAMN04488589_2772,SDG34895.1,,14937,15905
GCA_000022385.1,LS215_0815,ACP34875.1,,729610,730470
GCA_000336895.1,C443_03079,EMA25145.1,,5549,6346
GCA_002507095.1,ABGDECOM_01709,ABGDECOM_01709,,6875,7468
GCA_002214465.1,A3L01_02285,ASJ04246.1,,410727,411404
GCA_002487355.1,AOIFKBFE_02017,AOIFKBFE_02017,,22146,22736
GCA_000739065.1,JH146_1489,AIJ06331.1,,1453433,1456087
GCA_001560795.1,DKHEPMGO_01638,DKHEPMGO_01638,,7473,8159
GCA_000446015.1,N186_02035,AGT34801.1,,363051,366356
GCA_001560375.1,EEHAGKII_00468,EEHAGKII_00468,,466502,467419
GCA_000979335.1,DU31_20190,KKG08055.1,,56100,57605
GCA_002498705.1,KKNDLOMO_00589,KKNDLOMO_00589,,26134,28692
GCA_000221185.1,GQS_03655,AEK72632.1,,699503,700483
GCA_000979015.1,DU63_11750,KKG74464.1,,7253,9121
GCA_001560515.1,BIICEEPG_01857,BIICEEPG_01857,,139689,140375
GCA_001508185.1,XD62_1328,KUK29596.1,,6096,7334
GCA_000189575.1,SiH_0407,ADX81775.1,,353995,354426
